timestamp,underlying_price,strike,dte,option_type,open_interest,volume,iv
2026-09-04 07:30:00,534.42,529.0,2.0,call,25,5,0.24922
2026-09-04 07:30:00,534.42,529.0,2.0,put,25,2,0.25907
2026-09-04 07:30:00,534.42,529.5,2.0,call,25,5,0.24256
2026-09-04 07:30:00,534.42,529.5,2.0,put,25,2,0.25711
2026-09-04 07:30:00,534.42,530.0,2.0,call,25,3,0.23795
2026-09-04 07:30:00,534.42,530.0,2.0,put,68,16,0.24867
2026-09-04 07:30:00,534.42,530.5,2.0,call,25,5,0.22651
2026-09-04 07:30:00,534.42,530.5,2.0,put,30,4,0.24485
2026-09-04 07:30:00,534.42,531.0,2.0,call,138,20,0.21849
2026-09-04 07:30:00,534.42,531.0,2.0,put,102,17,0.23838
2026-09-04 07:30:00,534.42,531.5,2.0,call,176,17,0.22048
2026-09-04 07:30:00,534.42,531.5,2.0,put,247,44,0.23522
2026-09-04 07:30:00,534.42,532.0,2.0,call,425,21,0.21669
2026-09-04 07:30:00,534.42,532.0,2.0,put,507,51,0.22637
2026-09-04 07:30:00,534.42,532.5,2.0,call,666,140,0.20827
2026-09-04 07:30:00,534.42,532.5,2.0,put,871,58,0.22262
2026-09-04 07:30:00,534.42,533.0,2.0,call,827,178,0.20804
2026-09-04 07:30:00,534.42,533.0,2.0,put,1003,61,0.21426
2026-09-04 07:30:00,534.42,533.5,2.0,call,1075,84,0.19809
2026-09-04 07:30:00,534.42,533.5,2.0,put,1184,279,0.21236
2026-09-04 07:30:00,534.42,534.0,2.0,call,1308,223,0.18865
2026-09-04 07:30:00,534.42,534.0,2.0,put,1569,209,0.2003
2026-09-04 07:30:00,534.42,534.5,2.0,call,1665,113,0.1894
2026-09-04 07:30:00,534.42,534.5,2.0,put,1586,281,0.1999
2026-09-04 07:30:00,534.42,535.0,2.0,call,1670,293,0.19167
2026-09-04 07:30:00,534.42,535.0,2.0,put,1898,435,0.20298
2026-09-04 07:30:00,534.42,535.5,2.0,call,1613,125,0.20253
2026-09-04 07:30:00,534.42,535.5,2.0,put,1609,249,0.21102
2026-09-04 07:30:00,534.42,536.0,2.0,call,1225,210,0.20062
2026-09-04 07:30:00,534.42,536.0,2.0,put,1232,157,0.21946
